date,value
2020-11-21,40043.0
2020-11-22,32887.0
2020-11-23,38000.0
2020-11-24,54583.0
2020-11-25,51879.0
2020-11-26,47572.0
2020-11-27,50535.0
2020-11-28,41101.0
2020-11-29,32805.0
2020-11-30,39357.0
2020-12-01,53757.0
2020-12-02,53857.0
2020-12-03,54901.0
2020-12-04,53732.0
2020-12-05,45441.0
2020-12-06,34647.0
2020-12-07,37921.0
2020-12-08,51788.0
2020-12-09,54041.0
2020-12-10,53308.0
2020-12-11,56934.0
2020-12-12,46303.0
2020-12-13,35244.0
2020-12-14,58654.0
2020-12-15,250951.0
2020-12-16,1281426.0
2020-12-17,1745273.0
2020-12-18,2327126.0
2020-12-19,1360984.0
2020-12-20,1068951.0
2020-12-21,2290278.0
2020-12-22,2637218.0
2020-12-23,3427957.0
2020-12-24,1993428.0
2020-12-25,1049921.0
2020-12-26,1532865.0
2020-12-27,1668555.0
2020-12-28,3949566.0
2020-12-29,4895874.0
2020-12-30,5666757.0
2020-12-31,3814106.0
2021-01-01,2872202.0
2021-01-02,3741889.0
2021-01-03,3214866.0
2021-01-04,6140183.0
2021-01-05,7321849.0
2021-01-06,7953420.0
2021-01-07,9000108.0
2021-01-08,9527059.0
2021-01-09,5799881.0
2021-01-10,3482470.0
2021-01-11,8724253.0
2021-01-12,10517672.0
2021-01-13,12260288.0
2021-01-14,15361974.0
2021-01-15,14914872.0
2021-01-16,10363797.0
2021-01-17,7237864.0
2021-01-18,12296983.0
2021-01-19,15792256.0
2021-01-20,17066861.0
2021-01-21,19883914.0
2021-01-22,20425434.0
2021-01-23,14611642.0
2021-01-24,10015242.0
2021-01-25,18141134.0
2021-01-26,19498106.0
2021-01-27,18642617.0
2021-01-28,20972560.0
2021-01-29,21202528.0
2021-01-30,13799603.0
2021-01-31,8475884.0
2021-02-01,22201767.0
2021-02-02,24277458.0
2021-02-03,28524275.0
2021-02-04,28158240.0
2021-02-05,26739150.0
2021-02-06,19166519.0
2021-02-07,11369359.0
2021-02-08,21832696.0
2021-02-09,24902845.0
2021-02-10,25944922.0
2021-02-11,26742963.0
2021-02-12,29471609.0
2021-02-13,18164126.0
2021-02-14,11333507.0
2021-02-15,19086488.0
2021-02-16,24044346.0
2021-02-17,27467486.0
2021-02-18,29995763.0
2021-02-19,27022651.0
2021-02-20,18085969.0
2021-02-21,11334879.0
2021-02-22,20000736.0
2021-02-23,25983086.0
2021-02-24,30319844.0
2021-02-25,34351382.0
2021-02-26,33165996.0
2021-02-27,23653906.0
2021-02-28,12567174.0
2021-03-01,26211695.0
2021-03-02,32616355.0
2021-03-03,38308770.0
2021-03-04,43026016.0
2021-03-05,41217278.0
2021-03-06,31569705.0
2021-03-07,15290766.0
2021-03-08,35287970.0
2021-03-09,38974909.0
2021-03-10,43821205.0
2021-03-11,41850585.0
2021-03-12,47223185.0
2021-03-13,35509301.0
2021-03-14,17455549.0
2021-03-15,45477175.0
2021-03-16,46887694.0
2021-03-17,49707179.0
